path,job_type,owner,resource_class,can_run_pre_market,can_run_regular_market,can_run_post_market,can_run_market_closed,current_policy_status,submit_surface_present,preview_surface_present,order_surface_present,recommended_action
docker-compose.yml#backend,mixed,api,web_api_container,policy_dependent,policy_dependent,policy_dependent,policy_dependent,STARTS_MIXED_API_SURFACES,true,true,true,Gate per API route before relying on container-level controls
docker-compose.yml#worker,mixed,scheduler,worker_container,policy_dependent,policy_dependent,policy_dependent,policy_dependent,STARTS_MIXED_SCHEDULER,true,true,true,Use child job inventory as enforcement rollout list
backend/Dockerfile#CMD,mixed,api,web_api_entrypoint,policy_dependent,policy_dependent,policy_dependent,policy_dependent,STARTS_MIXED_API_SURFACES,true,true,true,Keep entrypoint unchanged but gate route handlers
ops/systemd/tradeo.service#ExecStart,mixed,ops,full_stack_start,policy_dependent,policy_dependent,policy_dependent,policy_dependent,STARTS_FULL_STACK,true,true,true,Do not edit timer; document that service starts backend and worker together
ops/scripts/deploy_ubuntu.sh,mixed,ops,full_stack_deploy,policy_dependent,policy_dependent,policy_dependent,policy_dependent,STARTS_FULL_STACK,true,true,true,Add operator note or preflight before deployment starts scheduler stack
backend/tradeo/tasks/worker.py::main,mixed,scheduler,apscheduler_worker,policy_dependent,policy_dependent,policy_dependent,policy_dependent,MIXED_CHILD_JOBS_PARTIAL_POLICY,true,true,true,Apply per-job enforcement below rather than one mixed decision
backend/tradeo/tasks/worker.py::scan_job,large_scanner,scanner,market_scan,false,false,true,true,RESOURCE_POLICY_ENFORCED,false,false,false,Guarded with JobType.LARGE_SCANNER before MarketScanner.run
backend/tradeo/tasks/worker.py::report_job,nightly_report,ops,report_generation,true,true,true,true,NO_RESOURCE_POLICY_WRAPPER,false,false,false,Low risk; add policy metadata if scheduler enforcement becomes uniform
backend/tradeo/tasks/worker.py::self_improvement_job,heavy_backtest,research,self_improvement_research_cycle,false,false,true,true,RESOURCE_POLICY_ENFORCED,false,false,false,Guarded with JobType.HEAVY_BACKTEST before SelfImprovementEngine.run_lab_cycle
backend/tradeo/tasks/worker.py::discovery_job,research_heavy,research,daily_pattern_discovery,false,false,true,true,RESOURCE_POLICY_ENFORCED,false,false,false,Guarded with JobType.RESEARCH_HEAVY before PatternDiscoveryLabAgent.run
backend/tradeo/tasks/worker.py::novel_match_job,large_scanner,research,pattern_matcher,false,false,true,true,RESOURCE_POLICY_ENFORCED,false,false,false,Guarded with JobType.LARGE_SCANNER before NovelPatternMatcher.match_current
backend/tradeo/tasks/worker.py::research_director_job,research_heavy,research,director_review,false,false,true,true,RESOURCE_POLICY_ENFORCED,false,false,false,Guarded with JobType.RESEARCH_HEAVY before ResearchDirector.run
backend/tradeo/tasks/worker.py::laboratory_entry_job,lab_paper_probe,lab,entry_scanner,true,true,false,false,LEGACY_SCANNER_SAFETY_NO_RESOURCE_POLICY,true,false,true,Route through lab_paper_probe resource decision before PatternEntryScanner.scan
backend/tradeo/tasks/worker.py::fox_hunter_entry_job,live,fox_hunter,entry_scanner,false,false,false,false,LEGACY_LIVE_SAFETY_NO_DAILY_POLICY,true,false,true,Keep live blocked by legacy gates and add explicit live denial metadata
backend/tradeo/tasks/worker.py::reconciliation_job,live,execution,broker_reconciliation,false,false,false,false,NO_RESOURCE_POLICY_WRAPPER,false,false,true,Clarify whether reconciliation is read-only or live-risk before daily policy wiring
backend/tradeo/tasks/worker.py::false_match_metrics_job,research_light,research,metrics_drift,true,true,true,true,NO_RESOURCE_POLICY_WRAPPER,false,false,false,Add research_light metadata or low-cost allowlist
backend/tradeo/tasks/worker.py::intraday_universe_premarket_job,daily_watchlist_prep,intraday,universe_placeholder,true,true,true,true,PLACEHOLDER_NO_RESOURCE_POLICY,false,false,false,If wired to real scanner classify as large_scanner before enabling
backend/tradeo/tasks/worker.py::intraday_data_sync_job,research_heavy,intraday_research,market_data_cache,false,false,true,true,RESOURCE_POLICY_ENFORCED,false,false,false,Guarded via _run_intraday_job mapping to JobType.RESEARCH_HEAVY
backend/tradeo/tasks/worker.py::intraday_research_job,research_heavy,intraday_research,intraday_research,false,false,true,true,RESOURCE_POLICY_ENFORCED,false,false,false,Keep existing decide_with_market_session_policy coverage
backend/tradeo/tasks/worker.py::intraday_research_process_pool_job,research_heavy,intraday_research,process_pool,false,false,true,true,RESOURCE_POLICY_ENFORCED,false,false,false,Keep existing guard and mirror it in standalone wrappers
backend/tradeo/tasks/worker.py::intraday_candidate_scan_job,large_scanner,intraday_scanner,candidate_scan,false,false,true,true,RESOURCE_POLICY_ENFORCED,false,false,false,Keep existing _run_intraday_job mapping to JobType.LARGE_SCANNER
backend/tradeo/tasks/worker.py::intraday_eod_flat_job,intraday_flat_preview,intraday_execution,broker_flat_preview,true,true,true,true,PREVIEW_ONLY_NO_RESOURCE_POLICY,false,true,true,Keep preview broker isolated; add explicit no-submit policy metadata
backend/tradeo/tasks/worker.py::intraday_risk_heartbeat_job,research_light,intraday,risk_heartbeat,true,true,true,true,NO_RESOURCE_POLICY_WRAPPER,false,false,false,Low risk; add metadata if all scheduler jobs become policy-aware
backend/tradeo/routers/research.py::run_discovery,research_heavy,research,api_pattern_discovery,false,false,true,true,API_RESOURCE_POLICY_ENFORCED,false,false,false,Route guard blocks with JobType.RESEARCH_HEAVY before PatternDiscoveryLabAgent.run
backend/tradeo/routers/research.py::match_current_patterns,large_scanner,research,api_pattern_matcher,false,false,true,true,API_RESOURCE_POLICY_ENFORCED,false,false,false,Route guard blocks with JobType.LARGE_SCANNER before NovelPatternMatcher.match_current
backend/tradeo/routers/research.py::run_research_director,research_heavy,research,api_director_review,false,false,true,true,API_RESOURCE_POLICY_ENFORCED,false,false,false,Route guard blocks with JobType.RESEARCH_HEAVY before ResearchDirector.run
backend/tradeo/routers/research.py::refresh_director_review_candidates,research_light,research,director_review_gate,true,true,true,true,API_NO_RESOURCE_POLICY_WRAPPER,false,false,false,Add low-cost guard or document as metadata-only
backend/tradeo/routers/laboratory.py::scan_laboratory,lab_paper_probe,lab,api_entry_scanner,true,true,false,false,API_LEGACY_SCANNER_SAFETY_NO_RESOURCE_POLICY,true,false,true,Require lab_paper_probe decision when execute_orders or store_signals is requested
backend/tradeo/routers/fox_hunter.py::scan_fox_hunter,live,fox_hunter,api_entry_scanner,false,false,false,false,API_LEGACY_LIVE_SAFETY_NO_DAILY_POLICY,true,false,true,Keep live denied by daily policy and expose denial reason to caller
backend/tradeo/routers/scan.py::run_scan,large_scanner,scanner,api_market_scan,false,false,true,true,API_RESOURCE_POLICY_ENFORCED,false,false,false,Route guard blocks with JobType.LARGE_SCANNER before MarketScanner.run
backend/tradeo/routers/backtests.py::run_backtest,heavy_backtest,research,api_backtest,false,false,true,true,API_RESOURCE_POLICY_ENFORCED,false,false,false,Route guard blocks with JobType.HEAVY_BACKTEST before provider/backtest work
backend/tradeo/routers/self_improvement.py::run_self_improvement,heavy_backtest,research,api_research_cycle,false,false,true,true,API_RESOURCE_POLICY_ENFORCED,false,false,false,Route guard blocks with JobType.HEAVY_BACKTEST before lab cycle work
backend/tradeo/routers/ibkr.py::ibkr_preview_signal_order,paper_submit,execution,api_order_preview,false,false,false,false,ORDER_PREVIEW_LEGACY_GATES_NO_DAILY_POLICY,false,true,true,Keep preview non-submit and add daily policy denial metadata
backend/tradeo/routers/ibkr.py::ibkr_submit_signal_bracket,paper_submit,execution,api_order_submit,false,false,false,false,ORDER_SUBMIT_SURFACE_NO_DAILY_POLICY,true,false,true,Require explicit deny via assert_job_allowed(JobType.PAPER_SUBMIT)
backend/tradeo/routers/ibkr.py::ibkr_reconcile,live,execution,api_broker_reconcile,false,false,false,false,BROKER_SURFACE_NO_DAILY_POLICY,false,false,true,Clarify read/write effects and add policy metadata before automation
backend/tradeo/routers/signals.py::human_approve_signal,live,execution,api_signal_approval,false,false,false,false,SIGNAL_APPROVAL_NO_DAILY_POLICY,false,false,false,Keep admin-only and ensure approval is not interpreted as submit permission
backend/tradeo/routers/signals.py::paper_execute_signal,paper_submit,execution,api_paper_execute,false,false,false,false,PAPER_SUBMIT_SURFACE_NO_DAILY_POLICY,true,false,true,Require explicit paper_submit denial or separate human override gate
backend/tradeo/routers/intraday.py::intraday_flat_preview,intraday_flat_preview,intraday_execution,api_flat_preview,true,true,true,true,PREVIEW_ONLY_NO_RESOURCE_POLICY,false,true,true,Keep fake broker preview and add explicit no-submit metadata
backend/tradeo/routers/intraday.py::intraday_flat_request,live,intraday_execution,api_flat_request,false,false,false,false,NOT_IMPLEMENTED_LIVE_SURFACE,false,false,true,Keep broker-backed request unimplemented unless live policy exists
scripts/research_forever.sh,research_heavy,research,http_research_loop,false,false,true,true,HTTP_LOOP_NO_RESOURCE_POLICY,false,false,false,Call a resource-policy status endpoint before each discovery cycle
scripts/run_intraday_research_wave.py,research_heavy,intraday_research,wave_runner,false,false,true,true,RESOURCE_POLICY_ENFORCED,false,false,false,Early JobType.RESEARCH_HEAVY guard writes blocked_resource_policy manifest result
scripts/run_intraday_scouting_process_pool.py,research_heavy,intraday_research,process_pool,false,false,true,true,RESOURCE_POLICY_ENFORCED,false,false,false,Early JobType.RESEARCH_HEAVY guard before worker process-pool path
scripts/run_intraday_process_pool_benchmark.py,research_heavy,intraday_research,process_pool_benchmark,false,false,true,true,RESOURCE_POLICY_ENFORCED,false,false,false,Early JobType.RESEARCH_HEAVY guard before benchmark repeat/process pool
scripts/intraday_history_capacity_loop.py,research_heavy,intraday_research,capacity_planner,false,false,true,true,RESOURCE_POLICY_ENFORCED,false,false,false,JobType.RESEARCH_HEAVY guard before planner/scoring work
scripts/warm_intraday_cache_resilient.py,research_heavy,intraday_research,cache_warmup,false,false,true,true,RESOURCE_POLICY_ENFORCED,false,false,false,Early JobType.RESEARCH_HEAVY guard before provider child-process fetch tasks
scripts/build_intraday_universe.py,large_scanner,intraday_research,universe_builder,false,false,true,true,RESOURCE_POLICY_ENFORCED,false,false,false,Early JobType.LARGE_SCANNER guard before universe scoring/build
scripts/fetch_ibkr_intraday_candidates.py,large_scanner,intraday_research,ibkr_scanner,false,false,true,true,RESOURCE_POLICY_ENFORCED,false,false,false,Early JobType.LARGE_SCANNER guard before IBKR scanner request
